# Case: R.ST0
# Station: 7
# X/H: 2.0
# Wall_Case: Parallel  Wall case, alpha=0 deg.
#
LR,Y/H,U/Ur,V/Ur,uu,vv,uv,uuu,uvv,vuu,vvv
2,0.1,-0.117,0.013,8.49,3.98,0.54,0.39,-0.02,-0.13,-0.2
3,0.15,-0.132,0.016,6.85,3.3,-0.17,0.69,0.05,-0.17,-0.1
4,0.2,-0.131,0.018,6.69,3.4,-0.65,0.78,0.12,-0.07,-0.18
5,0.3,-0.116,0.025,6.83,3.96,-1.04,0.55,0.23,-0.09,-0.27
6,0.4,-0.093,0.028,7.39,4.93,-1.43,0.13,0.02,-0.29,-0.12
7,0.5,-0.05,0.025,9.44,6.33,-2.33,0.62,0.62,-0.91,-0.71
8,0.6,0.027,0.009,13.04,8.68,-4.54,0.74,1.29,-1.63,-2.02
9,0.7,0.139,-0.017,13.94,10.48,-5.84,-1.88,0.08,-0.4,-1.12
10,0.8,0.28,-0.04,14.56,11.68,-6.81,0.23,0.32,-0.05,-0.89
11,0.9,0.406,-0.048,15.52,11.55,-6.89,-1.21,-1.12,1.31,1.23
12,1.0,0.564,-0.05,14.27,9.31,-5.26,-5.56,-3.37,3.36,2.78
13,1.1,0.701,-0.046,8.02,5.2,-2.58,-3.56,-1.87,1.73,1.93
14,1.15,0.735,-0.045,6.36,4.04,-1.9,-2.01,-1.03,0.98,1.15
15,1.2,0.769,-0.044,4.69,2.88,-1.21,-0.46,-0.19,0.24,0.37
16,1.3,0.806,-0.044,3.76,2.3,-0.94,-0.2,-0.09,0.15,0.16
17,1.4,0.835,-0.045,3.36,2.04,-0.91,-0.41,-0.12,0.15,0.15
18,1.5,0.858,-0.045,2.9,1.79,-0.76,-0.31,-0.09,0.12,0.08
19,1.7,0.898,-0.046,2.38,1.5,-0.64,-0.32,-0.12,0.13,0.1
20,2.0,0.944,-0.045,1.67,1.11,-0.42,-0.22,-0.1,0.1,0.08
21,2.4,0.99,-0.043,0.78,0.62,-0.16,-0.09,-0.04,0.04,0.03
22,2.8,1.005,-0.038,0.41,0.35,-0.06,0.01,0.01,0.0,-0.01
23,3.2,1.0,-0.036,0.37,0.31,-0.04,0.02,0.01,-0.01,-0.02
24,3.6,0.996,-0.034,0.37,0.3,-0.03,0.01,0.01,-0.01,0.0
25,4.0,0.996,-0.033,0.35,0.29,-0.04,0.02,0.01,-0.01,-0.01
26,5.0,0.992,-0.031,0.35,0.29,-0.04,0.02,0.01,-0.01,-0.01
27,6.0,0.988,-0.029,0.36,0.29,-0.04,0.01,0.01,-0.01,-0.01
28,7.5,0.987,-0.025,0.33,0.29,-0.03,0.01,0.01,-0.01,-0.01
29,8.2,0.911,-0.014,1.97,1.61,0.5,-0.35,-0.23,-0.15,-0.12
